transaction_id,store_id,product_name,quantity,unit_price,sale_date,payment_method,customer_email
TXN-1030,Store-C,Monitor,NULL,199.99,08/18/2024,Debit Card,customer30@example.com
TXN-1172,Store-B,Webcam,NULL,49.99,08/16/2024,,customer172@example.com
TXN-1084,Store-A,Laptop,5,49.99,08/30/2024,Cash,customer84@example.com
TXN-1199,Store-D,USB-Cable,4,49.99,08/06/2024,PayPal,customer199@example.com
TXN-1060,Store-B,Webcam,-1,199.99,08/28/2024,Credit Card,customer60@example.com
TXN-1155,Store-A,Mouse,1,49.99,08/24/2024,Debit Card,customer155@example.com
TXN-1045,Store-A,Laptop,NULL,199.99,08/25/2024,Cash,customer45@example.com
TXN-1182,Store-A,Monitor,5,N/A,08/03/2024,Debit Card,customer182@example.com
TXN-1009,Store-E,Webcam,2,29.99,08/01/2024,Debit Card,customer9@example.com
TXN-1196,Store-C,Monitor,3,49.99,08/29/2024,Cash,customer196@example.com
TXN-1136,Store-D,Laptop,5,199.99,08/01/2024,Cash,customer136@example.com
TXN-1187,Store-A,Headphones,2,199.99,08/29/2024,,customer187@example.com
TXN-1027,Store-B,Mouse,5,29.99,08/10/2024,,customer27@example.com
TXN-1126,Store-E,Webcam,4,-5.0,08/02/2024,,invalid-email
TXN-1015,Store-B,Monitor,NULL,-5.0,08/29/2024,,customer15@example.com
TXN-1073,Store-B,Laptop,two,299.99,08/19/2024,Credit Card,customer73@example.com
TXN-1165,Store-B,Mouse,2,199.99,08/16/2024,,customer165@example.com
TXN-1018,Store-A,Keyboard,3,199.99,08/03/2024,PayPal,customer18@example.com
TXN-1168,Store-A,Laptop,5,99.99,08/15/2024,Credit Card,customer168@example.com
TXN-1093,Store-C,Laptop,5,29.99,08/26/2024,Debit Card,customer93@example.com
TXN-1075,Store-B,Mouse,two,-5.0,08/21/2024,,customer75@example.com
TXN-1055,Store-A,Laptop,5,199.99,08/01/2024,Credit Card,customer55@example.com
TXN-1147,Store-C,USB-Cable,3,-5.0,08/04/2024,Debit Card,customer147@example.com
TXN-1109,Store-C,Mouse,2,-5.0,08/17/2024,,customer109@example.com
TXN-1108,Store-C,Keyboard,two,-5.0,08/25/2024,Cash,customer108@example.com
TXN-1142,Store-D,Laptop,2,99.99,08/10/2024,Debit Card,customer142@example.com
TXN-1025,Store-C,Laptop,4,29.99,08/25/2024,PayPal,customer25@example.com
TXN-1125,Store-D,Monitor,2,99.99,08/18/2024,Credit Card,customer125@example.com
TXN-1016,Store-D,Keyboard,-1,N/A,08/13/2024,Credit Card,customer16@example.com
TXN-1173,Store-D,USB-Cable,2,-5.0,08/11/2024,Debit Card,customer173@example.com
TXN-1192,Store-D,Monitor,2,299.99,08/05/2024,Cash,customer192@example.com
TXN-1069,Store-D,Keyboard,2,-5.0,08/21/2024,Debit Card,customer69@example.com
TXN-1101,Store-A,Webcam,1,N/A,08/01/2024,Debit Card,customer101@example.com
TXN-1067,Store-B,Monitor,1,49.99,08/23/2024,Cash,customer67@example.com
TXN-1104,Store-A,Headphones,NULL,29.99,08/05/2024,PayPal,customer104@example.com
TXN-1132,Store-D,Monitor,two,199.99,08/02/2024,Credit Card,customer132@example.com
TXN-1180,Store-A,Laptop,2,299.99,08/24/2024,Credit Card,customer180@example.com
TXN-1095,Store-C,Keyboard,1,99.99,08/22/2024,Debit Card,customer95@example.com
TXN-1082,Store-E,Laptop,two,29.99,08/13/2024,,customer82@example.com
TXN-1159,Store-C,USB-Cable,5,299.99,08/21/2024,Credit Card,customer159@example.com
TXN-1197,Store-A,Mouse,5,49.99,08/22/2024,Credit Card,customer197@example.com
TXN-1162,Store-E,Mouse,1,N/A,08/30/2024,Credit Card,customer162@example.com
TXN-1150,Store-A,Mouse,4,29.99,08/17/2024,PayPal,customer150@example.com
TXN-1096,Store-E,Keyboard,5,49.99,08/22/2024,,customer96@example.com
TXN-1172,Store-B,Webcam,NULL,49.99,08/16/2024,,customer172@example.com
TXN-1068,Store-D,Webcam,-1,49.99,08/05/2024,Cash,customer68@example.com
TXN-1156,Store-D,Keyboard,5,199.99,08/05/2024,Debit Card,customer156@example.com
TXN-1086,Store-A,Laptop,5,29.99,08/17/2024,PayPal,customer86@example.com
TXN-1100,Store-D,Webcam,-1,299.99,08/12/2024,PayPal,customer100@example.com
TXN-1038,Store-A,Keyboard,two,199.99,08/01/2024,Debit Card,customer38@example.com
TXN-1024,Store-A,Laptop,4,99.99,08/15/2024,Cash,customer24@example.com
TXN-1183,Store-B,Mouse,2,99.99,08/03/2024,PayPal,customer183@example.com
TXN-1117,Store-C,Monitor,NULL,99.99,08/02/2024,Cash,customer117@example.com
TXN-1029,Store-D,Keyboard,4,N/A,08/30/2024,Debit Card,customer29@example.com
TXN-1019,Store-D,USB-Cable,4,29.99,08/29/2024,Credit Card,customer19@example.com
TXN-1135,Store-C,Headphones,5,199.99,08/06/2024,PayPal,customer135@example.com
TXN-1139,Store-E,USB-Cable,two,29.99,08/28/2024,Credit Card,invalid-email
