Order ID,Product Name,Category,Customer Name,Country,Order Date,Quantity,Unit Price,Total Amount,Payment Method,Discount Applied,Shipping Status
ORD-1095,4K Monitor,electronics,,UK,2024-04-05,5.0,427.36,2136.8,Credit Card,no,delivered
ORD-1165,smart watch,ACCESSORIES,,USA,2024-06-14,5.0,401.44,2007.2,PayPal,,
ORD-1138,4k Monitor,Accessories,Jane Doe,France,2024-05-18,1.0,87.41,87.41,PayPal,NO,delivered
ORD-1176,ssd 1tb,ELECTRONICS,Alice Brown,canada,2024-06-25,1.0,326.71,326.71,Credit Card,Yes,delivered
ORD-1015,Webcam HD,Electronics,John Smith,Germany,2024-01-16,5.0,109.74,548.7,Credit Card,yes,delivered
ORD-1111,4k Monitor,ACCESSORIES,JOHN SMITH,Canada,2024-04-21,3.0,320.54,961.62,CREDIT CARD,,
ORD-1168,Tablet 10inch,,John Smith,canada,2024-06-17,2.0,321.94,643.88,credit card,no,shipped
ORD-1073,ram 16gb,Accessories,Alice Brown,USA,2024-03-14,,199.18,,Debit Card,yes,Pending
ORD-1128,4k Monitor,Electronics,john smith,,2024-05-08,5.0,128.01,640.05,Debit Card,NO,
ORD-1139,smart watch,Computers,Jane Doe,,2024-05-19,5.0,226.45,1132.25,credit card,No,pending
ORD-1158,SSD 1TB,Accessories,John Smith,France,2024-06-07,5.0,346.04,1730.2,Credit Card,,delivered
ORD-1030,Webcam HD,computers,Jane Doe,,2024-01-31,1.0,236.11,,Debit Card,NO,Shipped
ORD-1186,power bank,,Jane Doe,Uk,2024-07-05,2.0,274.31,548.62,cash,NO,delivered
ORD-1009,mechanical keyboard,Accessories,Alice Brown,france,2024-01-10,2.0,212.49,424.98,Credit Card,no,delivered
ORD-1067,Gaming Laptop,Accessories,Jane Doe,Canada,2024-03-08,,124.45,,Cash,NO,
ORD-1175,webcam hd,electronics,Jane Doe,uk,2024-06-24,,452.67,,,Yes,Shipped
ORD-1171,Mechanical Keyboard,,Alice Brown,USA,2024-06-20,,363.25,,CREDIT CARD,yes,Delivered
ORD-1018,Mechanical Keyboard,computers,Charlie Wilson,USA,2024-01-19,2.0,224.68,449.36,paypal,yes,delivered
ORD-1153,4k Monitor,Electronics,,,2024-06-02,5.0,154.66,773.3,cash,YES,delivered
ORD-1066,RAM 16GB,,Bob Johnson,,2024-03-07,5.0,290.18,1450.9,credit card,no,
ORD-1185,RAM 16GB,Accessories,charlie wilson,UK,2024-07-04,1.0,74.76,74.76,Cash,No,Shipped
ORD-1142,bluetooth headphones,Computers,JOHN SMITH,uk,2024-05-22,5.0,323.08,1615.4,Debit Card,yes,shipped
ORD-1079,Bluetooth Headphones,Accessories,john smith,usa,2024-03-20,,256.12,,credit card,,shipped
ORD-1025,usb-c cable,Accessories,JOHN SMITH,UK,2024-01-26,,279.91,,PayPal,NO,delivered
ORD-1104,smart watch,Electronics,JOHN SMITH,France,2024-04-14,2.0,43.53,87.06,credit card,,delivered
ORD-1145,Power Bank,accessories,JOHN SMITH,USA,2024-05-25,2.0,424.2,848.4,credit card,NO,Shipped
ORD-1189,smart watch,,jane doe,USA,2024-07-08,2.0,457.61,915.22,credit card,Yes,delivered
ORD-1016,Wireless mouse,,Alice Brown,usa,2024-01-17,1.0,279.12,279.12,PayPal,yes,shipped
ORD-1045,USB-C Cable,Electronics,charlie wilson,USA,2024-02-15,1.0,433.37,433.37,paypal,Yes,delivered
ORD-1150,ram 16gb,Electronics,,Uk,2024-05-30,2.0,290.24,,Credit Card,YES,delivered
ORD-1108,Bluetooth Headphones,Electronics,Bob Johnson,canada,2024-04-18,2.0,375.92,,PayPal,No,Delivered
ORD-1055,4K Monitor,,john smith,canada,2024-02-25,,499.46,,Credit Card,yes,delivered
ORD-1112,bluetooth headphones,electronics,bob johnson,Usa,2024-04-22,5.0,437.56,2187.8,,Yes,
ORD-1191,mechanical keyboard,Computers,john smith,,2024-07-10,,135.92,,credit card,yes,
ORD-1124,,electronics,Jane Doe,UK,2024-05-04,1.0,93.29,93.29,Credit Card,Yes,shipped
ORD-1128,4k Monitor,Electronics,john smith,,2024-05-08,5.0,128.01,640.05,Debit Card,NO,
ORD-1075,tablet 10inch,Electronics,Jane Doe,,2024-03-16,1.0,412.17,412.17,Cash,,Shipped
ORD-1135,usb-c cable,Computers,Charlie Wilson,UK,2024-05-15,1.0,404.27,404.27,debit card,yes,Delivered
ORD-1118,gaming laptop,ELECTRONICS,Jane Doe,usa,2024-04-28,2.0,153.75,307.5,paypal,,Pending
ORD-1098,bluetooth headphones,ACCESSORIES,John Smith,USA,2024-04-08,1.0,196.2,196.2,Credit Card,no,shipped
ORD-1096,usb-c cable,Electronics,bob johnson,canada,2024-04-06,1.0,427.65,427.65,,No,pending
ORD-1183,mechanical keyboard,electronics,Jane Doe,france,2024-07-02,3.0,376.27,1128.81,cash,Yes,Delivered
ORD-1117,Tablet 10inch,computers,Jane Doe,,2024-04-27,,400.11,,cash,NO,pending
ORD-1093,USB C Cable,Accessories,Alice Brown,canada,2024-04-03,2.0,349.43,698.86,PayPal,Yes,Shipped
ORD-1084,Bluetooth Headphones,,John Smith,USA,2024-03-25,5.0,267.72,1338.6,Debit Card,,
